Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2856,11,18.3,35.4,0,10.7,8.2,15,31,0,6,17,9,17,14,1012.8,1010.7,3,7,26.3,34,0,1
575,0,12,21.1,0,2.4,4.9,11,22,15,10,9,9,70,60,1022.3,1020.2,2,7,16.2,19.4,0,0
2037,6,11.9,17,1.6,5.6,0.8,5,48,4,3,24,30,71,88,1008.4,1004.7,7,7,14.6,13.3,1,1
2010,19,1.3,10.2,4.2,2.6,4.4,15,33,15,13,15,17,87,64,1018.4,1016.8,7,7,3.8,8.5,1,0
2895,18,23.7,31.5,0,11,12.1,4,35,2,1,17,28,53,50,1014.2,1010.2,3,1,29.1,30.4,0,0
792,11,18.2,39.8,0,11.4,11.7,7,48,1,14,9,24,37,5,1009.8,1005.7,6,5,26.5,37.4,0,0
1217,1,23.9,31.4,2.6,6.8,8.1,3,30,0,3,2,17,72,67,1008,1004.7,3,3,28.9,30.7,1,0
3316,16,19.3,25.8,45.8,2.8,3.6,10,65,9,2,24,22,88,79,1022.9,1022.2,8,7,21.8,24.1,1,1
810,10,20.5,25.8,0,6.8,12.6,1,41,0,0,24,28,65,65,1020.7,1019.4,2,4,23.8,24.5,0,0
3155,13,15.2,18.7,7.4,5.4,1.9,15,59,6,14,15,33,91,69,1008.5,1008.8,7,8,16.3,17.4,1,1
658,1,19.5,31.1,0,5.6,10.8,1,35,9,4,15,28,63,47,1014.3,1011.1,1,1,26.8,28.5,0,0
1382,12,13.6,21.1,0,4,6.2,11,39,10,12,15,15,68,59,1011.6,1010.7,3,4,17.4,20.2,0,0
644,8,4.2,22.3,0,4.8,11,11,31,11,13,19,17,28,18,1019.6,1017.2,3,0,16.6,21.4,0,0
1308,17,11.4,14.4,36.8,6.4,0,11,63,12,12,37,41,99,97,1016.6,1014.3,8,8,11.4,11.2,1,1
145,2,4.2,18.9,0,6.4,10.8,14,50,15,14,6,31,60,34,1011.2,1009.3,3,2,11.2,18.1,0,0
2802,7,14.8,24.4,2.6,6,4.4,12,43,15,12,15,24,85,66,1014,1014.2,6,8,16.5,20.6,1,0
3087,5,11.2,14.4,2.8,2.6,0,3,39,3,3,15,19,89,80,1010.8,1009.3,7,7,12.5,13.5,1,1
514,5,13.8,19.2,0,1.8,4.1,11,30,11,10,13,19,67,61,1023.5,1023.3,5,7,16.5,18.4,0,0
1404,18,21.8,29.6,0,8,11.4,1,39,1,1,17,30,63,69,1014.7,1011.5,6,1,26.9,27.4,0,0
509,18,23.5,30.9,3.8,5.6,4.6,1,35,11,1,7,24,95,72,1013,1008.8,8,7,23.8,29.1,1,1
1271,17,13.4,17.3,2.2,3.4,0.3,10,70,9,10,39,46,79,71,1021.5,1020,8,7,15.4,16.1,1,1
1317,12,13.1,21,8.8,1,7.2,7,57,14,7,6,15,83,81,1010.9,1008.7,3,7,17.1,18.1,1,1
2736,6,4,16.7,0,1.4,6.5,6,44,3,14,15,22,71,45,1026.9,1021.5,6,7,9.6,15.4,0,1
3258,13,16.8,25.8,0,10,11.8,15,50,11,12,28,33,52,41,1011.9,1010.7,6,1,20.9,23.6,0,0
1815,19,12.7,25.9,0,22.2,13.3,15,56,12,13,28,24,37,19,1002,1001.9,0,1,17.2,23.6,0,0
1502,18,25.2,30.8,18.2,8.4,2.3,0,44,13,4,13,20,87,80,1004,1001.5,7,8,28,29.7,1,1
2897,9,14.3,23,0,4.2,2,11,37,11,8,19,24,70,62,1016.7,1015.7,7,7,18.1,21.4,0,0
709,1,22.4,29.2,5,6.2,4.5,9,46,10,9,22,20,66,61,1015.7,1014.1,6,7,26.3,27.2,1,1
1847,12,23,30.8,0,9.2,0.3,7,28,4,14,6,9,45,44,1010.1,1008.3,7,7,26.8,29.4,0,1
969,8,1.4,18.3,0,2.2,10.1,1,26,0,3,19,6,73,36,1027,1023.7,0,0,9,17.9,0,0
1960,0,13.1,17.9,8.8,0.8,0.8,15,28,12,15,9,7,93,90,1014.1,1010.6,7,8,14.3,16.4,1,1
2759,14,7.3,13.5,6.6,0.4,5.6,13,35,12,15,15,22,96,82,1022.9,1022.8,8,8,9.7,12.5,1,1
1452,12,19.4,26.3,0,8.4,2.3,9,56,2,9,15,22,65,52,1010.7,1006.4,8,6,20.9,26.2,0,1
2452,19,12.6,27.4,0,7.8,8.2,12,43,7,13,17,20,41,17,1013.8,1012.2,7,4,16.9,25.6,0,0
1756,17,13.4,20,7.2,6.8,3.6,13,57,0,1,4,9,89,50,1005.6,1003.9,8,7,14.3,19.2,1,1
1916,16,11.1,20.6,0,3.8,10.1,15,41,13,13,17,22,53,31,1014.7,1011.8,1,1,13.2,19.1,0,0
